french|lingala
KOFFI : Hum ton amour est une mer, ou peut être un océan, j'en sais rien  Par-contre moi le comprimé effervescent, je le sais  Même dans un verre d'eau je ne serai pas guéri, EKATSHAKA viens me chercher  Tu es la mort que je me suis choisi|KOFFI : Hum bolingo nayo ezali la mer, soki mpe océan nga nayebi te  Kasi nga comprimé ya effervescent nga nayebi  Ata na verre ya mayié, nako bika te EKATSHAKA yak'ozua no ngaï Y'oza liwa oyo ngaï na miponeli, ayeh
KOFFI et FALLY : Quelle vitamine dois-je prendre, pour être suffisamment bon  Digne de l'amour d'EKATSHAKA, que je sache prendre soin d'elle aujourd'hui et demain|KOFFI et FALLY : Ayeh, vitamine nini ? Oyo na mela nakoma suffisamment bon  Digne y'amour ya EKATSHAKA nayeba kolengela ye lelo na lobi
KOFFI : LAMARTINE, VERLAINE, BEAUDELAIRE De la haut, prenez note EKATSHAKA|KOFFI : LAMARTINE, VERLAINE, BEAUDELAIRE De la haut, prenez note EKATSHAKA
Choeur : EKATSHAKA, je suis vraiment trop triste  Mon cas, je ne sais pas vraiment comment il va se terminer, j'aime trop, veille sur moi BELLA MARIA|Choeur : EKATSHAKA nga vraiment eh mawa trop  Cas na nga nayebi tin'oyo ndenge ekosuka vraiment, kolinga eleki trop talela nga BELLA MARIA
FALLY : Hoouu hou, je l'aime, c'est vrai que je l'aime  Mon DIEU, cette fois-ci si je mens  Donne moi une punition, le jour de ma mort  Que personne ne me pleurs, ni n'ait pitié de moi  Que mon corps aille tout seul aux cimetières avec son amour EKATSHAKA|FALLY : Hoouu hou nalingi, c'est vrai nga nalingi eh  NZAMBE ya mbal'oyo soki na buki lokuta  Pesa nga etumbu mokolo ya liwa nga eh  Moto alela nga te, moto pe te a yoka nga mawa Na kende ngamoko na nzela ya lilita na bolingo na nga, yeeh yeh yeh eh eh EKATSHAKA
KOFFI : Le chien s'étonne de la laisse au niveau des hanches  Mais pas de celle au niveau du cou Viens m'emmener jusqu'à la fin|KOFFI : IMBWA ekamwaka singa ya loketo  Kasi oyo ya kingo te  Yak'o komisa nga na suka
Chœur : Mon DIEU, je me demande  Tu as créé des merveilles, l'éclipse solaire  La lune et le soleil|Chœur : NZAMBE nga na tuna nanu Osala ba merveilles, éclipse solaire  Sanza na moyi eh, oh ye ye
KOFFI et FALLY : Les forêts et les fleuves, les oiseaux et les animaux  Dieu, tu as créé les chutes du NIAGARA  Mais tu n'étais pas satisfait, ainsi t'as créé EKATSHAKA Merci de l'avoir mise entre mes mains|KOFFI et FALLY Ba zamba na bi balés, ba ndekés, na bi bwelés NZABE osala chute du NIAGARA  Kasi ozalaki te satisfait yango oye kosala EKATSHAKA Merci po otié ye na maboko ma nga ah
FALLY : Ne cherche pas à ce que mon sang coule EKATSHAKA, pour que tu puisses m'aimer|FALLY : Kolinga te EKATSHAKA makila na nga etanga bong'oyako linga nga NANA KETCHUP
KOFFI : Hum dit moi EKATSHAKA, cette parole dont la reine dit au roi qu'à l'oreille|KOFFI : Hum lobela ngaé EKATSHAKA lilob'oyo reine alobelaka roi se na litoyié
FALLY : Ils ont pris l'amour et l'ont vendu au grand marché|FALLY : Oh bazua ba bolingo bateka na zando ya ngabela EKATSHAKA
KOFFI : EKATSHAKA donne moi ne serait-ce que ta moitié, pour moi c'est suffisant  EKATSHAKA, maman disait que si l'amour est gratuit C'est parce que personne ne peut l'acheter  Comment, toi la lune, je te cherche avec une torche  Ou une fleur dans la main gauche|KOFFI : Pesa ngaé EKATSHAKA ata la moitié nayo, pona ngaï ça suffit  EKATSHAKA hein, mama alobaka, soki bolingo ey'eloko y'ofelé  Eye po moto akoka kosomba yango te  Boni yo sanza nakomi koluka yo na torche ? To lopamba, to fololo na loboko ya mobali
EKATSHAKA, je suis vraiment trop triste  Mon cas, je ne sais pas vraiment comment il va se terminer, j'aime trop, veille sur moi BELLA MARIA   Ayo leli ayo leli ayo ooh oh oh oh  EKATSHAKA, ceux ont suivi ceux qui s'étaient mariés précipitamment Commencent à regretter que ceux qui ne se marient pas n'aient envie de convoler en juste noces|EKATSHAKA nga vraiment eh mawa trop  Cas na nga na yebi te ENAIRAIM ndege ekosuka vraiment kolinga eleki trop talela nga BELLA MARIA Ayo leli ayo leli ayo ooh oh oh oh  EKATSHAKA balanda baye balaki pressé  Bakom'o regretter pe bayé ba balaka te bayoka posa ya convoler en justes noces
FALLY : Huuu hu ayo ayo leli eh  EKATSHAKA, ceux qui ont suivi ceux qui s'étaient mariés précipitamment Commencent a regretter que ceux qui ne se maries pas aient envie de convoler en juste noces|FALLY : Huuu hu ayo ayo leli eh  EKATSHAKA balanda baye balaki pressé  Bakom'o regretter pe bayé ba balaka te bayoka posa ya convoler en justes noces
KOFFI et FALLY : Quelle vitamine dois-je prendre, pour être suffisamment bon  Digne de l'amour d'EKATSHAKA, que je sache prendre soin d'elle aujourd'hui et demain|KOFFI et FALLY Vitamine nini ? Oyo na mela nakoma suffisamment bon  Digne y'amour ya EKATSHAKA nayeba kolengela ye lelo na lobi
KOFFI : Mon DIEU, je me demande [FALLY : oh mon DIEU] Tu as créé des merveilles, l'éclipse solaire  La lune et le soleil [Le plaisir réside chez nous] Les forêts et les fleuves|KOFFI : YAHWE nga na tuna nanu [FALLY : oh YAHWE] Y'osala ba merveilles, éclipse solaire  Sanza na moyi eh [Elengi evandaka epayi na biso hein] Ba zamba na bi balés
KOFFI et FALLY : Les oiseaux et les animaux  Dieu, tu as créé les chutes du NIAGARA|KOFFI et FALLY : Ba ndekés, na bi bwelés NZABE osala chute du NIAGARA
KOFFI : Mais tu n'étais pas satisfait, ainsi t'as créé EKATSHAKA Merci de l'avoir mise entre mes mains|KOFFI : Kasi ozalaki te satisfait yango oye kosala EKATSHAKA Merci po otié ye na maboko ma nga ah
KOFFI : Ne cherche pas à ce que mon sang coule EKATSHAKA, pour que tu puisses m'aimer|KOFFI : Kolinga te EKATSHAKA makila na nga etanga bong'oyako linga nga eeh
FALLY : Hum dit moi EKATSHAKA, cette parole dont la reine dit au roi qu'à l'oreille|FALLY : Hum lobela ngaé EKATSHAKA lilob'oyo reine alobelaka roi se na litoyié BLANDINE MALILA
KOFFI : EKATSHAKA donne moi ne serait-ce que ta moitié, pour moi c'est suffisant|KOFFI : Pesa ngaé EKATSHAKA ata la moitié nayo, pona ngaï ça suffit
FALLY : Hum prenez, prenez de l'amour donné le à CLARISSE BOMBOKO|FALLY : Hum bozwa, bozwa ata ba bolingo bo pesa CLARISSE BOMBOKO
Intro :			 Lui même MADILU multi-système  Ah ma sœur, tu m’as donné un grand coup sur la tête Parce que je parle avec ton mari  Tu ne sais pas vraiment que ton mari c’est mon grand du quartier  Ça ne se fait pas, c’est quoi ça ?|Intro : Ye mei MADILU multi-system  Ah yo ndeko ya mwasi, oyé kobeta nga kabakata ya likofi Pona kosolola na mobali nayo  Vraiment oybi te que mobali nayo ayali yaya nanga ya quartier  Basalaka boyé te, boni ko ?
Je ne suis pas habitué à me battre, pourquoi tu me cherches, qu’est ce que je t’ai fait  Moi, je ne me bats jamais  Depuis que je suis né, je n’ai même pas fait d’éducation physique  Je ne suis pas taillé pour les bagarres Que l’on m’insulte, que l’on parle du mal de moi, je ne prête pas attention   Moi, je refuse de me battre|Namesana nanga bitumba te mama boni oko kanela  nga nasali yo nini eh  Ngayi ko na boundaka te mama Banda nabotama nasala nanga ata physique te oh Wapi nzoto ya bitumba eh mwan’oyo  Bafinga, batonga nakipaka te oh  Ngayi ko naboya nanga bitumba oh mama
Je le dis|Nalobeli hein
Je ne suis pas habitué aux chamailleries, cela me donne envie de vomir, pourquoi cherches-tu à me chamailler sous la pluie Les tonnerres grondent dans le ciel, toi tu cherches à te battre contre moi pour avoir la richesse  La beauté d’une femme dans ce monde n’est pas une finalité en soi  L’homme pour lequel tu cherches te battre contre moi, n’est qu’un grand du quartier|Namesana nanga koswana te je peux vomir boni oko swanisa nga nase ya mbula  Bakake eko beta likolo, olingi obundisa ngayi, po ozwa bomengo oh mama ah  Kitoko ya mwasi na mokili ezali chance ya la vie te  Mobali oko bundisa ngayi ezali vieux ya quartier
Parler : COCO, je ne sais pas, comme on est encore ici bas, comme nous ne sommes pas encore au paradis  Si tu peux avoir la chance d’avoir un mari pour toi seule|Parler : COCO, nayebi te lokola tozali namokili oyo ya se, nanu tokomi na paradizo te  Soki okoki kozwa chance ya kozwa mobali oyo ya yomoko
N’écoute  pas les médisances  J’en peux plus|Ah tika biyoka yoka  Nazangi moyen hein
Les chamailleries et les bagarres c’étaient du passé, qu’est ce qui t’as appris ces mauvaises habitudes COCO|Koswana pe bitumba ezalaki likambo nayo ya kala, nani alakisi yo bitude mabe boyé COCO
Je crains les coups  Je ne me bats pas COCO Je ne me dispute pas COCO Je refuse d’avoir les marques de griffures sur mon visage  Maintenant, je prie JESUS  Maintenant, j’évite les maris des autres,   les péchés|Nabanga makofi
Parler : Non COCO, je pense que  Qu’on devient les changeurs de devises Tu n’as pas remarqué comment ses femmes là se font de l’argent  Avec les âges qu’on a maintenant   Changer encore d’homme, c’est une souffrance  C’est vrai|Nga nabundaka te eh COCO eh  Nga naswanaka te eh COCO 	 Nga naboya manzaka n’elongi nanga eh Nga nakoma nangayi kosambela YESU  Nga nakoma kobanga mibali ya bato masumu
Si je me suis mal comporté, pardonne-moi  Si j’ai tué un membre de ta famille, trouve un moyen pour me pardonner|Parler : Te COCO namoni hein  Tokoma nabiso ba changeur de monnaie  Omonaka  ndenge ba mère yango bangindaka te  Vraiment na bambula oyo tokomi nayango To changeaka lisusu mibali, ah pasi hein  Mama oh, c’est vrais
Chœur 2x : COCO MAMAN Si je me suis mal comporté, pardonne-moi|Soki nasalaki yo mabé, olimbisa ngayi eh  Soki nabomela yo moto na famille, luka yo pardonné ngayi oh
Je sais que la blessure d’amour est plus douloureuse qu’une blessure par balle  Mais tu ne pouvais pas me ridiculiser de cette façon|Chœur  (2x) : COCO eh  Mama eh  Soki nasalaki mabe limbisa nga eh
Chœur 2x : COCO MAMAN Si je me suis mal comporté, pardonne-moi|Nayebi pota ya bolingo eliki pota ya lisasi  Kasi okokaki kosambwisa nga boye te mama
Cet homme, tu as raconté des mensonges à mon sujet, c’est moi qui t’avais présenté à NZOMBO FAUSTINO|Chœur  (2x) : COCO eh  Mama eh  Soki nasalaki mabe limbisa nga eh
Chœur 2x : COCO MAMAN Si je me suis mal comporté, pardonne-moi|Mobali oyo, okoseli nga makambo COCO, nga nde moto nalakisaki yo NZOMBO FAUSTINO
